,FibCassini_cpp,FibCassini_python,FibFormulaBig_string,FibFormula_python,FibFormula_string,FibLoop_cpp,FibLoop_python,FibLoop_string,FibMatrix_cpp,FibMatrix_python,FibMatrix_string,FibRecurDP_python,FibRecur_python
0,31111.097200664517,10222.217724731308,120444.39085912018,12444.438880265807,10222.217724731308,49333.3113809058,4444.442538442672,5777.775186288636,15111.10440333141,6666.663693977171,19111.102574242977,7111.107947821438,4888.886678600102
1,17333.325672552746,5333.330932444369,65777.74854577001,7111.107947821438,9777.773357200203,28888.87604513002,4444.4424247558345,3999.9981709115673,13777.771641798608,5333.330932444369,17333.325672552746,5777.775186288636,4444.4424247558345
2,87999.96089692286,10666.661864888738,70222.19097052584,35555.53973910719,10222.217724731308,27999.987537441484,6222.219440132903,29333.320298974286,76888.85466450301,10222.217724731308,78222.18742603582,7999.996455509972,5777.775299975474
3,26666.654775908682,7999.996455509972,86666.62813539006,8444.44070935424,9777.773357200203,32888.87432972842,7111.107947821438,26222.210522064415,79555.52018756862,9777.773470887041,259999.884519857,9777.773470887041,6222.219440132903
4,66666.63705345854,10222.21761104447,90222.1821661442,8444.44070935424,11555.55048626411,26666.654775908682,4888.886792286939,37777.761008328525,84888.85112001299,19111.102574242977,184888.80664335738,7111.107947821438,5333.330932444369
5,91111.07067383273,9777.773470887041,75111.07776281278,7555.552201665705,10222.21761104447,41333.314925395825,6666.663807664008,36888.87250063999,231111.008474727,13333.327387954341,846666.2903856558,11111.106232419843,13777.771641798608
6,76888.85466450301,14222.215895642876,91555.51481399016,7999.996455509972,7999.996455509972,38222.20526217279,5777.775186288636,47111.0902253713,113777.72727882984,15555.548657175677,208444.35175604303,17333.32555886591,8444.44070935424
7,63999.97153039294,15999.992911019945,153333.2651888486,10222.217724731308,12888.883134110074,35555.53973910719,5333.330932444369,119555.50235143164,161777.70589820284,27555.543283597217,650221.9332560344,9777.773357200203,10222.217724731308
8,190222.13757580175,23999.989366529917,234666.5623917943,10222.217724731308,12888.883134110074,39555.538023705594,8444.44070935424,94666.62459090003,193777.69172024273,18666.65832039871,516444.21489527303,17777.769926397013,31999.98570835305
9,170222.14649387024,16888.88141870848,133777.71836076136,12444.438880265807,14222.215895642876,41777.75929292693,7555.552201665705,67555.52556114708,203111.02082359866,16444.43716486421,698221.9119890942,11999.994740108377,29333.320298974286
10,238666.56056270585,19111.102574242977,118666.61395742995,7111.107947821438,10666.661978575576,50222.19988859433,6222.219440132903,135555.4952624516,165333.25981527014,15111.104289644572,654666.3756807903,13777.771641798608,31999.98582203989
11,94222.18033705576,22666.656604997115,131999.9413453843,7999.996455509972,7999.996455509972,40444.42641770729,7555.552201665705,70222.19097052584,201333.24392190843,18222.214066554443,366666.5037371786,10666.661978575576,44444.424702305696
12,103555.50955409853,23111.100858841382,152444.37668116007,8444.440595667402,11111.106118733005,39999.982163863024,5333.331046131207,59555.52899195027,155555.48645806994,25333.32212806272,235555.45089948282,11111.106118733005,61333.306121014175
13,178666.58731691132,19111.102574242977,107555.5077250101,14222.215895642876,15111.10440333141,57333.30783641577,9333.329217042774,79999.96444141289,372888.7231773115,27111.09902975295,444888.6911632144,20444.43533577578,299999.86668372
14,100444.39977718866,14666.660149487143,75555.52201665705,13777.771641798608,8444.44070935424,34666.651231418655,7555.552201665705,117333.2810822103,164888.81556142587,11999.99462642154,322222.0790348729,10666.661978575576,137333.27227782866
15,81777.74145678995,13777.771641798608,90222.1821661442,6666.663693977171,15999.992911019945,35555.53973910719,5333.330932444369,69777.74683036841,193333.24746639846,13777.771641798608,817777.4143405259,11999.99462642154,220888.79074999568
16,131555.49709154002,20444.43533577578,90222.18205245736,8888.884963198507,13333.327387954341,37333.31675448426,6222.219440132903,79999.96444141289,135555.4952624516,11999.99462642154,237333.2279148599,15111.10440333141,727110.7880342242
17,109777.72899423144,15111.10440333141,104444.39794810023,7111.107947821438,13777.771641798608,37777.76089464169,5777.775186288636,79111.07604741119,167111.0368306472,12444.438880265807,309333.1959007628,11999.99462642154,567110.8591513985
18,124888.83339756285,19555.546828087245,71555.52373205865,10666.661864888738,7555.552201665705,45777.75735015166,5333.330932444369,84888.85112001299,164888.81556142587,12888.883247796912,300888.75519140856,19555.546828087245,920444.0353869358
19,134222.16250091878,15999.992911019945,77777.74328587839,7111.107947821438,7999.996455509972,38666.64951601706,7111.107947821438,87555.51664307859,201333.2438082216,13777.771641798608,387110.93907295435,12444.438993952645,1483554.8961400492
